"Original Aversion";"Recovered Aversion"
1;1.2
0.8;0.8
1.6;1.6
1.2;1.4
1.4;1.2
1;1.2
1;1.4
0.4;0.4
1.4;1.4
1.6;1.8
1.8;1.8
1.8;1.4
1.2;1
0.8;0.8
1.4;1.4
1;1
1;1
1;1.2
1.4;1.4
1.8;1.8
1.4;1.2
1.8;1.8
1.2;1
1.8;1.8
0.4;0.4
1.4;1.6
0.6;0.6
1.6;1.6
1.4;1.4
1.6;1.6
1.4;1.6
1.6;1.6
1.4;0.8
0.8;1.4
1.4;1.2
1.6;1.4
1.8;1
0.8;0.8
1.6;1.6
1;0.8
1.2;1.2
1.8;1.8
1.4;1
1.2;1.2
1.8;1.8
1.2;1.2
0.8;1.2
1.8;1.6
0.8;0.4
0.8;0.4
1;1.2
1.8;1.8
1.8;1.6
1.6;1.4
1.8;1.8
1.2;1
0.8;0.8
1;0.8
1.2;1.2
1.2;1.2
1.8;1.2
1.4;1.8
0.8;1
1;1.2
1.6;1.4
1.8;1.2
1.6;1.6
1.4;1.8
1.8;1.8
1.4;1.4
1.4;1.4
1.4;1.4
1.6;1.4
1.6;1.8
1.6;1.4
1.6;1.2
1.2;1.8
1.8;1.8
1.4;1.4
1;1.6
1.6;1.4
1.8;1.8
1.4;1.4
1.6;1.4
1.8;1.8
1.8;1.8
1.2;1.4
1.6;1.6
1.6;1
1.6;1.6
1.8;1.6
1.6;1.8
1.8;0.8
1.8;1.8
1.4;1.6
1;1
1.8;1.4
1.2;1.2
1.8;1.6
1.2;1.6
1.4;1.8
1.4;1.2
1;0.8
1.4;1.6
1.6;1.6
1;1.6
1.8;1.6
1.4;1.2
1.8;1.8
1.6;1.6
1.4;1.6
1.2;1.2
1.4;1
1.8;1.6
1;1
1.8;1.6
1.8;1.8
1.6;1.8
1.6;1.6
1.6;1.8
1.8;1.6
1;1.4
1.4;1.8
1;0.8
1.2;1.2
1.6;1.8
1;1
1.2;1.2
1.2;1.2
1;1.8
1;1
1;0.4
1.2;1.2
1.6;1.6
1.6;1.6
1.6;1.8
1;0.6
1.2;1.2
1.4;1.4
1.8;1.4
1.8;1.8
1.4;1.6
1.8;1.8
1.6;1.6
1.2;1.6
1;0.8
1.6;1.8
1.8;1.8
1.6;1.6
1.6;1.8
1.4;1.6
0.8;0.6
1.6;1
1.2;0.8
1.4;1
0.8;0.8
1.6;1.6
1.2;1.4
1.4;1.6
1.8;1.6
1.4;1.2
0.8;0.8
1.6;1.6
1.6;1.8
1;1.4
1.8;1.8
0.4;0.4
1.6;1.6
1.4;1.4
0.8;0.8
1.8;1.4
1.6;1.8
1.2;1.4
1.4;1.4
1.6;1.6
1.8;1.6
1.6;1.4
1.6;1.6
1.8;1.8
1.2;1.6
1.6;1.2
1.6;1.8
1.6;1.6
1;1
1.8;1.8
1.8;1.8
1.4;1.8
1.4;1
0.4;0.4
1;1
1.2;1.4
1;1
1.6;1.2
1.8;1.6
0.8;0.8
0.6;0.6
1;0.6
1.2;1.8
0.8;1.4
0.8;1
1.8;1.8
1;0.8
0.4;0.4
1.6;1.6
1.2;1.2
1.4;1.4
1.6;1.8
1;0.6
1.6;1.6
0.4;0.4
1.2;1.4
0.8;0.4
1.8;1.8
1.4;1.4
1.6;1.8
1.6;1.6
1.6;1.6
1.2;1
1;1
1.4;1.2
0.8;0.4
1.6;1.6
1.8;1.8
1.4;1.2
0.4;0.4
1.2;1.2
1.6;1.6
0.8;1
1.8;1.6
1.4;1.6
1.8;1.6
1.8;1.8
1;0.8
0.4;0.4
1.6;1.2
1.2;1.2
0.8;0.8
1.2;1.6
0.8;1
1.6;1.4
1.6;1.8
1.4;1.2
0.6;0.4
1.8;1.4
1;1.4
1.2;1.2
0.8;1.2
1.2;1.2
1.6;1.4
1.6;1.4
1.6;1.6
1.6;1.4
1;0.4
0.8;0.8
1.6;1.8
1.2;1.2
1.8;1
1.4;1.4
1;1
1.6;1.8
1.4;1.4
1.4;1.4
1.2;0.8
1;1.2
1;1.2
1.6;1.4
1.4;1.4
1.2;1.2
1.8;1.6
0.8;0.8
1.6;1.8
1.8;1.6
0.4;0.4
0.4;0.4
1.6;1
1.6;1.8
0.4;0.4
1.2;1.2
1.8;1.8
1.4;1.4
1;0.8
1.4;1.6
1;1.2
1.4;1.4
1.2;1.4
1.4;1.6
1.4;1.4
1.6;1.2
1.2;0.8
1.6;1.6
1.6;1.6
1;1.2
0.4;0.4
1.6;1.6
1.2;1.8
1.2;1.6
1.6;1.4
1.4;1.4
1.2;1.4
0.4;0.4
1.8;1.6
1.4;1.2
0.4;0.8
1;1.2
1.6;1.2
0.4;0.4
1.4;1.4
1.2;1.6
0.8;0.8
1;1
1.8;1.2
1;1.2
1.8;1.4
1.4;1.2
1.8;1.8
0.4;0.4
1.6;1.8
1.6;1.6
1.8;1.6
1.8;1.8
1.4;1.4
1.8;1.6
1;1
1.2;1.8
1.4;1.2
1.6;1.6
1.2;1.2
1.8;1.4
1.2;1.4
1.4;1.4
1;0.6
1.8;1.8
1.4;1.8
1.2;1.4
1.4;1.4
1.6;1.6
1.2;1.2
1;1.2
1.6;1.8
1.6;1
1.6;1.8
1.4;1
1;1
1.4;1.4
1.8;1.8
1.2;1.4
1;1.2
0.8;0.8
1.8;1.4
1.4;1.4
1.8;1.8
1.8;1.8
1.8;1.8
1.8;1.6
1.4;1.4
1.4;1.2
1.4;1.4
1.8;1.8
1.2;1
1.8;1.8
1.6;1.6
1.6;1.4
1.6;1.2
1.8;1.6
1.4;1
1.4;1.6
1.6;1.4
1.4;1.4
1.6;1.8
1.8;1.6
1.6;1.4
0.8;0.8
1.6;1.6
1.6;1.4
1;1
1;1.4
1.4;1.2
1.8;1.8
1.8;1.4
1.8;1.8
1.4;1.8
1;0.8
1.6;1.6
1;0.8
1.2;1.2
1.8;1.8
1.2;1.6
1.2;1
1.4;1.4
1.4;1.8
1.6;1.2
1.6;1.4
1.2;1.2
1.8;1.6
1.4;1.4
1.6;1.6
1.4;1.4
1.6;1.8
1.8;1.8
1.6;1.6
1.8;1.4
1.6;1.6
1.6;1.6
0.6;0.4
1.4;1.2
1.8;1.2
1.6;1.8
1.4;1.4
1.8;1.6
0.4;0.4
1.8;1.8
1.4;1.4
0.8;0.8
0.8;0.8
1.4;1.8
1.6;1.8
1.2;1.4
1.8;1.8
1.8;1.6
1;0.6
1;1
1.2;1
1.2;1
1.8;1.6
1.8;1.6
1.6;1.2
1;0.8
0.6;0.4
1.6;1.6
0.8;0.6
0.4;0.4
0.4;0.4
1.6;1.8
1.2;1
1.4;1.6
0.8;0.8
1.6;1.4
1.2;0.4
1.6;1
1;1
0.8;0.4
1;1.6
1;1.2
1;1.6
1.6;1.8
1.8;1.8
1.8;1.6
1.4;1.4
1.4;1.6
1.4;1.4
1.8;1.6
1.6;1.6
1.8;1.6
1.8;1.8
0.4;0.4
1.8;1.8
1.6;1.4
1.8;1.6
0.8;0.4
1.6;1.6
1.4;1.6
1.4;1.2
1.8;1.8
1.2;1.4
1.6;1.4
1.4;1.4
1;1
1.8;1.6
1.4;1
1.4;1
0.8;0.8
1.6;1.8
1.8;1.4
1.2;1.4
1.8;1.8
1.2;1.4
1.6;1.6
1.8;1.8
1.4;1.6
1.2;1.4
1.4;1.8
0.8;1
1.6;1.6
1.8;1.8
1.6;1.6
0.4;1.4
1.6;1.6
1;1.4
1.8;1.8
1.8;1.8
1.6;1.8
1.8;1.8
1.8;1.8
0.4;0.4
1.6;1.4
1.4;1.4
1.2;1.2
1.4;0.4
1.6;1.6
1.2;1.2
1.4;1.6
1.4;1.4
1.6;1.4
1.4;1.8
0.8;0.8
1.6;1.8
1.4;1.6
1.2;1.6
1;1
1.8;1.8
1.6;1.4
1.4;1.4
1.8;1.6
1.8;1.8
1.2;1.4
1.6;1.8
1.6;1.2
0.8;0.8
0.8;0.4
1;1.4
1.8;1.8
1.4;1.6
1.8;1.8
1.8;1.8
1;1.2
1.6;1.8
1.2;1
1.6;1.8
1.4;1.6
1.4;1.8
1.8;1.8
1.6;1.4
1.8;1.6
1.6;1.4
1.2;0.6
1.2;1.8
1.4;1.6
1.8;1.6
0.8;0.6
1.4;1.6
1.4;0.6
0.8;0.8
0.8;0.8
1.2;1.2
1.6;1.6
1.8;1.8
1.8;1.8
1.2;1.2
1.8;1.8
1.6;1.2
1.8;1.8
1.2;1.4
1;0.6
1.6;1.6
1;1
1.4;1.2
1.6;1.4
1.8;1.8
1.4;1.4
1.6;1.6
1;1.4
1.4;1.4
1.8;1.8
1.8;1.2
1.8;1.8
1.4;1.4
1.4;1.2
1.2;1.2
1.6;1.6
0.4;0.4
1.8;1.6
1.2;1.2
1.4;1.2
1.8;1.8
1.4;1.8
1.8;1.4
1.8;1.4
1.8;1.8
1.6;1.6
1.8;1.8
1.6;1.4
1.2;1.2
1.6;1.4
1.6;1.8
0.4;0.4
1.2;1.4
1.4;1
1.6;1.8
1;1.2
1.6;1.8
1;1
1.2;1.2
1.8;1.6
1.4;1.4
0.4;0.4
1.6;1.6
1.6;1.8
1.8;1.6
1.6;1.6
1.4;1.6
1.2;1.2
1.4;1.2
1;1
1.6;1.6
1.6;1.6
1.2;1.2
